Crypto,VaR (95%),CVaR (95%),Sharpe Ratio,Max Drawdown
Cleaned_BTC,-0.0695600580729377,-inf,,-1.0
Cleaned_ETH,-0.08195039600118162,-inf,,-1.0
Cleaned_RIPPLE,-0.07409040809738249,-0.12510404015480375,,-0.9594433933116568
Cleaned_Theter,-0.011000649372411861,-inf,,-1.0
Cleaned_BNB,-0.07206829504178995,-inf,,-1.0
Cleaned_SOLANA,-0.11645748675734634,-inf,,-1.0
Cleaned_USDC,-0.13485095985316,-inf,,-1.0
Cleaned_DOGE,-0.10380700469407432,-inf,,-1.0
Cleaned_CARDANO,-0.10993415830442572,-inf,,-1.0
Cleaned_Lido,-0.08655788028806582,-inf,,-1.0
Cleaned_TRON,-0.0882116658446197,-inf,,-1.0
